,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
34,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea gloriosa,6,7707728,220,408,6654,3172890,5590098,Columnea gloriosa
35,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,Crassula arborescens,6,7707728,220,7219248,2406,2985823,7334487,Crassula arborescens
36,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,Crassula ovata,6,7707728,220,7219248,2406,2985823,5362063,Crassula ovata
37,Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas,Cycas revoluta,6,7707728,228,834,6168,2683206,2683217,Cycas revoluta 
38,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbidium,NA,1,110,210,9389852,3252478,3252479,NA,Cymbidium
39,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus alternifolius,6,7707728,196,1369,7708,2713455,2714156,Cyperus alternifolia
40,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus prolifer,6,7707728,196,1369,7708,2713455,2715505,Cyperus isocladus
41,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Cyrtomium,Cyrtomium falcatum,6,7707728,7228684,392,2373,8245169,2650829,Cyrtomium falcatum
42,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Davalliaceae,Davallia,NA,6,7707728,7228684,392,3229325,7148551,NA,Davallia
43,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Davalliaceae,Davallia,Davallia solida,6,7707728,7228684,392,3229325,7148551,7148557,Davallia fejeensis
44,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,NA,6,7707728,196,1169,7689,2821327,NA,Dendrobium
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,NA,6,7707728,196,551,6979,2869330,NA,Dieffenbachia
46,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,Dieffenbachia seguine,6,7707728,196,551,6979,2869330,2869345,Dieffenbachia maculata
47,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Dionaea,Dionaea muscipula,6,7707728,220,422,5399,3191248,5421410,Dionaea muscipulata
48,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Dorstenia,NA,6,7707728,220,691,6640,2984540,NA,Dorstenia 
49,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,Dracaena deremensis,6,7707728,196,1169,7683,2752062,7925681,Dracaena deremensis
50,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,Dracaena fragrans,6,7707728,196,1169,7683,2752062,5304583,Dracaena fragrans
51,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe purpurea,6,7707728,196,1169,4259209,2770879,2777917,Dracaena marginata
52,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,Dracaena reflexa,6,7707728,196,1169,7683,2752062,5304436,Dracaena reflexa
53,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Drymonia,Drymonia strigosa,6,7707728,220,408,6654,3233484,5590442,Drymonia strigosa
54,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris sieboldii,6,7707728,7228684,392,2373,2651126,7319438,Dryopteris sieboldii
55,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,Echeveria runyonii,6,7707728,220,7219248,2406,5362052,7334164,"Echeveria runyonii	"
56,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinopsis,Echinopsis lageniformis,6,7707728,220,422,2519,3231908,5622588,Echinopsis lageniformis
57,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos,Encephalartos lehmannii,6,7707728,228,834,5375,2683673,2683786,Encephalartos lehmannii 
58,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Epipremnum,Epipremnum aureum,6,7707728,196,551,6979,2868270,2868323,Epipremnum aureum 
59,Plantae,Tracheophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,NA,6,7707728,246,954,3105,2687913,NA,Equisetum
60,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia milii,6,7707728,220,1414,4691,3063749,3067157,Euphorbia milii 
61,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus benjamina,6,7707728,220,691,6640,2984588,5361932,Ficus benjamina
62,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus lyrata,6,7707728,220,691,6640,2984588,5361899,Ficus lyrata
63,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Graptopetalum,Graptopetalum paraguayense,6,7707728,220,7219248,2406,2985697,7334731,Graptopetalum paraguayense
64,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Hatiora,Hatiora salicornioides,6,7707728,220,422,2519,7959973,7280906,Hatiora salicornioides 
65,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthiopsis,Haworthiopsis coarctata,6,7707728,196,1169,4259209,9233780,9549498,Hawarthia coarctata
66,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthia,Haworthia cymbiformis,6,7707728,196,1169,4259209,2779529,2779810,Hawarthia cymbiformis
67,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus rosa-sinensis,6,7707728,220,941,6685,3152542,3152559,Hibiscus rosa-sinensis
68,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,NA,6,7707728,220,408,6652,3172260,NA,Jasminum
69,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,Kalanchoe tetraphylla,6,7707728,220,7219248,2406,2985928,4198371,Kalanchoe tetraphylla
70,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,Kalanchoe tomentosa,6,7707728,220,7219248,2406,2985928,4198346,Kalanchoe tomentosa
71,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,Lantana camara,6,7707728,220,408,6689,2925302,2925303,Lantana camara 
72,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ledebouria,Ledebouria socialis,6,7707728,196,1169,7683,8293484,2773791,Ledbouria socialis
73,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lonchocarpus,Lonchocarpus felipei,6,7707728,220,1370,5386,2968975,7989331,Lonchocarpus felipei
74,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,Pachycereus schottii,6,7707728,220,422,2519,3084407,3084408,Lophocereus schotti
75,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,Mammillaria decipiens,6,7707728,220,422,2519,3084158,7280793,Mammillaria decipiens
76,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Maranta,Maranta leuconeura,6,7707728,196,627,8784,2757347,2761337,Maranta leuconeura
77,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,Monstera deliciosa,6,7707728,196,551,6979,2868125,2868241,Monstera diliciosa
78,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Murraya,Murraya paniculata,6,7707728,220,933,2396,3190383,8190743,Murraya paniculata
79,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa acuminata,6,7707728,196,627,4686,2760990,2762680,Musa acuminata
80,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Neoregelia,NA,6,7707728,196,1369,3740,2693967,NA,Neoregelia
81,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Lomariopsidaceae,Nephrolepis,Nephrolepis exaltata,6,7707728,7228684,392,3229422,2650926,2650927,Nephrolepis exaltata 
82,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Nephthytis,NA,6,7707728,196,551,6979,2866707,NA,Nephthytis
83,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Palisota,Palisota barteri,6,7707728,196,553,2763195,2763787,2763803,Palsota barteri
84,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphiopedilum,NA,6,7707728,196,1169,7689,2825152,NA,Paphiopedilum
