"","kingdom","phylum","class","order","family","genus","species","kingdom_id","phylum_id","class_id","order_id","family_id","genus_id","species_id","query"
"55","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Schefflera","Schefflera actinophylla","6","7707728","220","1351","8800","3037700","3038546","Brassaia actinophylla"
"56","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Brassia","Brassia verrucosa","6","7707728","196","1169","7689","2840323","5323864","Brassia brachiata"
"57","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae",NA,NA,"6","7707728","196","1369","3740",NA,NA,"Bromeliaceae"
"58","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Brugmansia","Brugmansia suaveolens","6","7707728","220","1176","7717","2928883","5341758","Brugmansia suaveolens"
"59","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Brunfelsia","Brunfelsia australis","6","7707728","220","1176","7717","2932910","3800200","Brunfelsia australis"
"60","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae",NA,NA,"6","7707728","220","422","2519",NA,NA,"Cactaceae"
"61","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Calathea",NA,"6","7707728","196","627","8784","8394666",NA,"Calathea"
"62","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Calliandra","Calliandra tergemina","6","7707728","220","1370","5386","2981784","2981879","Calliandra emarginata"
"63","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Callisia","Callisia fragrans","6","7707728","196","553","2763195","2763692","5303453","Callisia fragrans"
"64","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Callisia","Callisia repens","6","7707728","196","553","2763195","2763692","5303420","Callisia repens"
"65","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Caralluma",NA,"6","7707728","220","412","6701","3572533",NA,"Caralluma"
"66","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Catharanthus","Catharanthus roseus","6","7707728","220","412","6701","3169829","3169830","Catharanthus roseus"
"67","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cattleya",NA,"6","7707728","196","1169","7689","2800821",NA,"Cattleya"
"68","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cephalocereus","Cephalocereus senilis","6","7707728","220","422","2519","3084413","7283905","Cephalocereus senillis"
"69","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cereus","Cereus repandus","6","7707728","220","422","2519","3084079","8429062","Cereus peruvianus"
"70","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Ceropegia","Ceropegia sandersonii","6","7707728","220","412","6701","7150518","7837855","Ceropegia sandersonii"
"71","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Cestrum","Cestrum elegans","6","7707728","220","1176","7717","2928784","6403186","Cestrum elegans"
"72","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia hirta","6","7707728","220","1414","4691","3063749","3068937","Chamaesyce hirta"
"73","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia hypericifolia","6","7707728","220","1414","4691","3063749","3066321","Chamaesyce hypericifolia"
"74","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Chlorophytum","Chlorophytum comosum","6","7707728","196","1169","7683","9388590","2774846","Chlorophytum comosum"
"75","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Cissus","Cissus quadrangularis","6","7707728","220","7222050","6672","3039160","7130673","Cissus quadrangularis"
"76","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae","6","7707728","220","408","2497","2925347","3889087","Clerodendrum thompsonii"
"77","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Clivia","Clivia miniata","6","7707728","196","1169","7682","2858144","9482657","Clivia miniata"
"78","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Codiaeum","Codiaeum variegatum","6","7707728","220","1414","4691","3071464","3071476","Codiaeum variegatum"
"79","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coffea","Coffea arabica","6","7707728","220","412","8798","2895315","2895345","Coffea arabica"
"80","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Coleus","Coleus amboinicus","6","7707728","220","408","2497","9340395","5341313","Coleus amboinicus"
"81","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Colocasia","Colocasia esculenta","6","7707728","196","551","6979","5330758","5330776","Colocasia esculenta"
"82","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae",NA,NA,"6","7707728","196","553","2763195",NA,NA,"Commelinaceae"
"83","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Cordyline","Cordyline fruticosa","6","7707728","196","1169","7683","9445706","2766278","Cordyline terminalis"
"84","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae",NA,NA,"6","7707728","196","627","4492",NA,NA,"Costaceae"
"85","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","Costus",NA,"6","7707728","196","627","4492","2756771",NA,"Costus"
"86","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","Chamaecostus","Chamaecostus cuspidatus","6","7707728","196","627","4492","2756999","2757024","Costus cuspidatus"
"87","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","Costus","Costus tappenbeckianus","6","7707728","196","627","4492","2756771","2756798","Costus tappenbeckianus"
"88","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Cotyledon","Cotyledon tomentosa","6","7707728","220","7219248","2406","2985684","7334615","Cotyledon tomentosus"
"89","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula arborescens","6","7707728","220","7219248","2406","2985823","7334487","Crassula arborescens"
"90","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula argentea","6","7707728","220","7219248","2406","2985823","8197822","Crassula argentea"
"91","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula corallina","6","7707728","220","7219248","2406","2985823","7382825","Crassula dasyphylla"
"92","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula muscosa","6","7707728","220","7219248","2406","2985823","7396425","Crassula lycopodioides"
"93","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula nudicaulis","6","7707728","220","7219248","2406","2985823","7333929","Crassula obvallata"
"94","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula ovata","6","7707728","220","7219248","2406","2985823","5362063","Crassula ovata"
"95","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula pyramidalis","6","7707728","220","7219248","2406","2985823","7763262","Crassula pyramidalis"
"96","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula socialis","6","7707728","220","7219248","2406","2985823","5689989","Crassula socialis"
"97","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Crassula barklyi","6","7707728","220","7219248","2406","2985823","5689510","Crassula barklyi"
"98","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae",NA,NA,"6","7707728","220","7219248","2406",NA,NA,"Crassulaceae"
"99","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Crotalaria","Crotalaria retusa","6","7707728","220","1370","5386","2941719","2942610","Crotalaria retusa"
"100","Plantae","Tracheophyta","Cycadopsida","Cycadales","Cycadaceae","Cycas","Cycas revoluta","6","7707728","228","834","6168","2683206","2683217","Cycas revoluta"
"101","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae",NA,NA,"6","7707728","196","1369","7708",NA,NA,"Cyperaceae"
"102","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus alternifolius","6","7707728","196","1369","7708","2713455","2714156","Cyperus alternifolius"
"103","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus papyrus","6","7707728","196","1369","7708","2713455","2716311","Cyperus papyrus"
"104","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Cyrtomium","Cyrtomium falcatum","6","7707728","7228684","392","2373","8245169","2650829","Cyrtomium falcatum"
"105","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia dioscoreifolia","6","7707728","220","1414","4691","3055556","3055843","Dalechampia dioscoreifolia"
"106","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia aristolochiifolia","6","7707728","220","1414","4691","3055556","3055750","Dalechampia aristolochiifolia"
"107","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia spathulata","6","7707728","220","1414","4691","3055556","3055580","Dalechampia roezliana"
"108","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dendrobium",NA,"6","7707728","196","1169","7689","2821327",NA,"Dendrobium"
"109","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dendrobium","Dendrobium bigibbum","6","7707728","196","1169","7689","2821327","5315699","Dendrobium phalaenopsis"
"110","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dendrobium",NA,"6","7707728","196","1169","7689","2821327",NA,"Dendrobium sesquipedale"
"111","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Dichorisandra","Dichorisandra thyrsiflora","6","7707728","196","553","2763195","2763579","2763632","Dichorisandra thyrsiflora"
"112","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia",NA,"6","7707728","196","551","6979","2869330",NA,"Dieffenbachia"
"113","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","Dioon","Dioon spinulosum","6","7707728","228","834","5375","2683494","2683495","Dioon spinulosum"
"114","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Dorstenia","Dorstenia bahiensis","6","7707728","220","691","6640","2984540","3766013","Dorstenia bahiensis"
"115","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Dorstenia","Dorstenia contrajerva","6","7707728","220","691","6640","2984540","2984541","Dorstenia contrajerva"
"116","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Dorstenia","Dorstenia mannii","6","7707728","220","691","6640","2984540","7262540","Dorstenia mannii"
"117","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Dracaena","Dracaena cincta","6","7707728","196","1169","7683","2752062","5304453","Dracaena cincta"
"118","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Dracaena","Dracaena surculosa","6","7707728","196","1169","7683","2752062","5304547","Dracaena godseffiana"
"119","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Aloe","Aloe purpurea","6","7707728","196","1169","4259209","2770879","2777917","Dracaena marginata"
