,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
237,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Ctenanthe,NA,6,7707728,196,627,8784,2762396,NA,Ctenanthe humilis
238,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Maranta,Maranta leuconeura,6,7707728,196,627,8784,2757347,2761337,Maranta leuconeura
239,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Arthrostemma,NA,6,7707728,220,690,6683,3188491,NA,Arthrostemma
240,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Tibouchina,Tibouchina urvilleana,6,7707728,220,690,6683,3188517,3188519,Tibouchina urvilleana
241,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus elastica,6,7707728,220,691,6640,2984588,7835333,Ficus elastica
242,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus gasparriniana,6,7707728,220,691,6640,2984588,5571251,Ficus gasparriniana
243,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus lyrata,6,7707728,220,691,6640,2984588,5361899,Ficus lyrata
244,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus microphylla,6,7707728,220,691,6640,2984588,5571174,Ficus microphylla
245,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus pumila,6,7707728,220,691,6640,2984588,5361930,Ficus pumila
246,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus retusa,6,7707728,220,691,6640,2984588,3765871,Ficus retusa
247,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus rubiginosa,6,7707728,220,691,6640,2984588,7589157,Ficus rubiginosa
248,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus maclellandii,6,7707728,220,691,6640,2984588,7262766,Ficus maclellandii
249,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,1,52,225,7390893,6567,2301388,9330695,Ficus carica
250,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus benjamina,6,7707728,220,691,6640,2984588,5361932,Ficus benjamina
251,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus deltoidea,6,7707728,220,691,6640,2984588,7262889,Ficus deltoidea
252,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa acuminata,6,7707728,196,627,4686,2760990,2762680,Musa nana
253,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Melaleuca,NA,6,7707728,220,690,5014,3175449,NA,Melaleuca citrina
254,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium cattleianum,6,7707728,220,690,5014,3187232,5420641,Psidium cattleianum
255,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nepenthaceae,Nepenthes,NA,6,7707728,220,422,6682,3190711,NA,Nepenthes
256,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhyncholaelia,Rhyncholaelia digbyana,6,7707728,196,1169,7689,2820721,2820722,Brassavola digbyana
257,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,NA,6,7707728,196,1169,7689,2800821,NA,Cattleya
258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium fimbriatum,6,7707728,196,1169,7689,2821327,5308651,Dendrobium fimbriatum
259,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium kingianum,6,7707728,196,1169,7689,2821327,5316009,Dendrobium kingianum
