,kingdom,phylum,class,order,family,genus,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species,species_id,query
28,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,6,7707728,220,1353,6674,3169458,Ardisia crenata,5414379,Ardisia crenata
29,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,6,7707728,220,404,3066,2873978,Aristolochia elegans,2874004,Aristolochia elegans
30,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,6,7707728,220,412,6701,3170229,NA,NA,Asclepias
31,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393,Asparagus densiflorus,2768503,Asparagus densiflorus
32,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393,Asparagus setaceus,2768686,Asparagus setaceus
33,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,6,7707728,7228684,392,6625,2650583,Asplenium nidus,2650676,Asplenium nidus
34,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Astrophytum,6,7707728,220,422,2519,8166122,Astrophytum myriostigma,7282451,Astrophytum myriostigma
35,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Astrophytum,6,7707728,220,422,2519,8166122,Astrophytum ornatum,7282413,Astrophytum ornatum
36,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,6,7707728,7228684,7229405,6629,2650103,Azolla caroliniana,2650105,Azolla carolinana
37,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,NA,NA,Begonia
38,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,Begonia coccinea,2874715,Begonia coccinea
39,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,Begonia foliosa,2874711,Begonia foliosa
40,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,Begonia masoniana,7303407,Begonia masoniana
41,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,Begonia minor,4157965,Begonia minor
42,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,6,7707728,220,7224005,6638,2874710,Begonia ulmifolia,2874713,Begonia ulmifolia
43,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,6,7707728,220,408,2393,2904597,NA,NA,Beloperone
44,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,Billbergia distachia,7289469,Billbergia distachia
45,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,NA,NA,Billbergia nidularium
46,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,Billbergia nutans,2693788,Billbergia nutans
47,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,Billbergia pyramidalis,2693754,Billbergia pyramidalis 
48,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,NA,NA,Billbergia saundersii
49,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,6,7707728,196,1369,3740,2693699,Billbergia zebrina,2693714,Billbergia zebrina
50,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Bougainvillea,6,7707728,220,422,6718,3086089,Bougainvillea spectabilis,7167078,Bougainvillea spectabilis
51,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,6,7707728,196,1169,7689,2815993,NA,NA,Brassavola
52,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bursera,6,7707728,220,933,6659,3190446,Bursera fagaroides,3190449,Bursera fagaroides
53,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,6,7707728,196,1169,7689,2794881,NA,NA,Calanthe
54,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,6,7707728,196,1169,7689,2794881,NA,NA,Calanthe pavlova
55,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,6,7707728,196,1169,7689,2794881,Calanthe vestita,2795000,Calanthe vestita
56,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Calathea,6,7707728,196,627,8784,8394666,NA,NA,Calathea
57,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Calathea,6,7707728,196,627,8784,8394666,NA,NA,Calathea insignis
58,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,6,7707728,196,553,2763195,2763692,Callisia gentlei,5303427,Callisia elegans
59,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,6,7707728,220,1353,3189597,3189634,Camellia japonica,3189636,Camellia japonica
60,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,6,7707728,220,1353,3189597,3189634,Camellia oleifera,8307542,Camellia sasanqua
61,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe arborescens,2777537,Aloe arborescens
62,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,6,7707728,220,7225535,6636,2874482,Carica papaya,2874484,Carica papaya
63,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Carnegiea,6,7707728,220,422,2519,3084368,Carnegiea gigantea,5384200,Carnegiea gigantea
64,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,6,7707728,196,1169,7689,2800821,NA,NA,Cattleya
65,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cephalocereus,6,7707728,220,422,2519,3084413,Cephalocereus senilis,7283905,Cephalocereus senilis
66,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,6,7707728,220,1370,5386,2962230,Ceratonia siliqua,5356354,Ceratonia siliqua
67,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,6,7707728,220,422,2519,3084079,Cereus hildmannianus,5384000,Cereus hildmannianus
68,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,6,7707728,220,422,2519,3084079,Cereus jamacaru,7282182,Cereus jamacaru 
69,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,6,7707728,220,422,2519,3084079,Cereus repandus,8429062,Cereus peruvianus
70,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cereus,6,7707728,220,422,2519,3084079,Cereus fernambucensis,7282711,Cereus tetragonus
71,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,6,7707728,220,412,6701,7150518,Ceropegia collaricorona,3575839,Ceropegia woodii
72,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Cestrum,6,7707728,220,1176,7717,2928784,Cestrum nocturnum,2928791,Cestrum nocturnum
73,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Chamaedaphne,6,7707728,220,1353,2505,8388331,Chamaedaphne calyculata,5333436,Chamaedaphne calyculata
74,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,6,7707728,196,552,7681,2734376,Chamaedorea seifrizii,2734708,Chamaedorea seifrizii
75,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,6,7707728,196,1169,7683,9388590,Chlorophytum laxum,2774395,Chlorophytum bichetii
76,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,6,7707728,196,1169,7683,9388590,Chlorophytum comosum,2774846,Chlorophytum comosum
77,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,6,7707728,220,933,2396,3190155,Citrus microcarpa,3831218,Citrus mitis
78,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cleistocactus,6,7707728,220,422,2519,7279702,Cleistocactus smaragdiflorus,7284686,Cleistocactus smaragdiflorus
79,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,6,7707728,220,408,2497,2925347,Clerodendrum thomsoniae,3889087,Clerodendrum thomsoniae
80,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Clivia,6,7707728,196,1169,7682,2858144,Clivia miniata,9482657,Clivia miniata
81,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Codiaeum,6,7707728,220,1414,4691,3071464,Codiaeum variegatum,3071476,Codiaeum variegatum 
82,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelogyne,6,7707728,196,1169,7689,2811365,NA,NA,Coelogyne
